28457823,2025-04-28,417256
132750724,2025-04-28,376270
21737465,2025-04-28,358101
13491895,2025-04-28,355800
54346799,2025-04-28,338138
60493101,2025-04-28,316502
85077558,2025-04-28,316461
83222441,2025-04-28,297465
177736533,2025-04-28,270569
21289110,2025-04-28,241795
10270250,2025-04-28,235005
36633370,2025-04-28,226473
88011908,2025-04-28,225697
11730342,2025-04-28,208778
63476337,2025-04-28,200007
2325298,2025-04-28,192480
126577260,2025-04-28,191086
45717250,2025-04-28,189695
14440270,2025-04-28,181902
121395510,2025-04-28,179967
19415064,2025-04-28,178704
291137,2025-04-28,177993
614765452,2025-04-28,174876
2126244,2025-04-28,172252
41881900,2025-04-28,170529
31792824,2025-04-28,169997
138393139,2025-04-28,167429
1062897,2025-04-28,166092
123458551,2025-04-28,164874
35955666,2025-04-28,155770
527591471,2025-04-28,151842
132464395,2025-04-28,149386
6498492,2025-04-28,146615
155220641,2025-04-28,143636
21540759,2025-04-28,142677
658928958,2025-04-28,138912
1039520,2025-04-28,135386
233472199,2025-04-28,132707
70107786,2025-04-28,131430
241576270,2025-04-28,127738
23096959,2025-04-28,127466
62607227,2025-04-28,125807
574523116,2025-04-28,123664
112507086,2025-04-28,123494
29028775,2025-04-28,121724
111583593,2025-04-28,121260
184456251,2025-04-28,117845
9384267,2025-04-28,116567
20580498,2025-04-28,114738
14098069,2025-04-28,113496
561730219,2025-04-28,112019
27193779,2025-04-28,110850
943149,2025-04-28,110493
307260205,2025-04-28,109950
23088740,2025-04-28,106748
552661142,2025-04-28,106547
576201,2025-04-28,105940
20929025,2025-04-28,104210
63537249,2025-04-28,103182
724712,2025-04-28,103097
133442384,2025-04-28,102795
103633984,2025-04-28,102447
58028038,2025-04-28,102074
231283452,2025-04-28,98577
100060912,2025-04-28,97924
24195339,2025-04-28,97605
15634981,2025-04-28,96678
908531752,2025-04-28,96200
23083156,2025-04-28,95466
32484381,2025-04-28,95047
626805178,2025-04-28,94935
34526884,2025-04-28,94430
48378947,2025-04-28,93215
74791366,2025-04-28,92847
157616880,2025-04-28,92818
15204860,2025-04-28,92633
196701619,2025-04-28,91946
701547123,2025-04-28,91830
55076063,2025-04-28,91780
33614304,2025-04-28,91677
22790488,2025-04-28,91416
90796663,2025-04-28,90506
65600975,2025-04-28,89492
88464704,2025-04-28,89224
16408992,2025-04-28,89037
919443098,2025-04-28,88914
311525798,2025-04-28,87564
299354207,2025-04-28,87501
106017343,2025-04-28,87467
101296881,2025-04-28,86975
193215554,2025-04-28,86974
54173593,2025-04-28,86487
585146387,2025-04-28,86094
612230,2025-04-28,84235
160919119,2025-04-28,83862
4164482,2025-04-28,83354
1181927,2025-04-28,83080
612344730,2025-04-28,83079
172562475,2025-04-28,83052
74293321,2025-04-28,82411
63539055,2025-04-28,82387
20904437,2025-04-28,81984
5108051,2025-04-28,81921
214587193,2025-04-28,81708
2561582,2025-04-28,81631
52631841,2025-04-28,81501
243950408,2025-04-28,81500
655806940,2025-04-28,80877
537603333,2025-04-28,80832
1863329,2025-04-28,80731
11180687,2025-04-28,80155
127988011,2025-04-28,80092
612354784,2025-04-28,78934
199570071,2025-04-28,78917
26500787,2025-04-28,78838
26066727,2025-04-28,78684
12888993,2025-04-28,78334
357728969,2025-04-28,77733
151834062,2025-04-28,77526
51117837,2025-04-28,77501
32689863,2025-04-28,77080
6296790,2025-04-28,76946
160640094,2025-04-28,75877
589831718,2025-04-28,75528
212639071,2025-04-28,75377
3470471,2025-04-28,75143
47018239,2025-04-28,74581
10744183,2025-04-28,74416
14747598,2025-04-28,74120
44882201,2025-04-28,73534
619959033,2025-04-28,73212
278335273,2025-04-28,72847
44571718,2025-04-28,72830
145553672,2025-04-28,72730
507775,2025-04-28,72508
257485422,2025-04-28,72392
221981891,2025-04-28,72189
343965132,2025-04-28,72041
693342566,2025-04-28,71918
203587744,2025-04-28,71442
172953845,2025-04-28,71425
80945428,2025-04-28,70631
523379232,2025-04-28,70476
107111421,2025-04-28,69981
718741813,2025-04-28,69762
13807606,2025-04-28,69756
14712850,2025-04-28,69726
7691631,2025-04-28,69639
596892,2025-04-28,69427
156018,2025-04-28,68869
101138315,2025-04-28,68863
1861458,2025-04-28,68790
71583602,2025-04-28,68600
44838949,2025-04-28,68506
596115135,2025-04-28,68498
616372661,2025-04-28,68308
382496361,2025-04-28,67852
21872392,2025-04-28,67805
